Number of Terms Truncated (k), Power Consumption (W),Reconstruction Error (%)
0,5.033165e-06,0.000000
1,4.974413e-06,0.002935
2,4.916119e-06,0.004229
3,4.858283e-06,0.005246
4,4.800902e-06,0.006095
5,4.743975e-06,0.006771
6,4.687500e-06,0.007408
7,4.631475e-06,0.007943
8,4.575898e-06,0.008495
9,4.520767e-06,0.008995
10,4.466081e-06,0.009487
11,4.411837e-06,0.009996
12,4.358035e-06,0.010391
13,4.304672e-06,0.010833
14,4.251746e-06,0.011225
15,4.199256e-06,0.011589
16,4.147200e-06,0.012043
17,4.095576e-06,0.012436
18,4.044382e-06,0.012834
19,3.993616e-06,0.013261
20,3.943277e-06,0.013690
21,3.893362e-06,0.014103
22,3.843871e-06,0.014507
23,3.794801e-06,0.014902
24,3.746150e-06,0.015323
25,3.697917e-06,0.015744
26,3.650100e-06,0.016119
27,3.602697e-06,0.016489
28,3.555706e-06,0.016836
29,3.509125e-06,0.017151
30,3.462953e-06,0.017511
31,3.417188e-06,0.017887
32,3.371827e-06,0.018298
33,3.326870e-06,0.018657
34,3.282314e-06,0.019029
35,3.238158e-06,0.019387
36,3.194400e-06,0.019730
37,3.151038e-06,0.020078
38,3.108070e-06,0.020452
39,3.065494e-06,0.020828
40,3.023309e-06,0.021172
41,2.981513e-06,0.021572
42,2.940103e-06,0.021973
43,2.899079e-06,0.022411
44,2.858438e-06,0.022806
45,2.818179e-06,0.023165
46,2.778300e-06,0.023553
47,2.738799e-06,0.023955
48,2.699674e-06,0.024363
49,2.660923e-06,0.024756
50,2.622545e-06,0.025163
51,2.584537e-06,0.025578
52,2.546899e-06,0.026011
53,2.509628e-06,0.026434
54,2.472722e-06,0.026818
55,2.436180e-06,0.027253
56,2.400000e-06,0.027705
57,2.364180e-06,0.028156
58,2.328718e-06,0.028544
59,2.293612e-06,0.028996
60,2.258861e-06,0.029545
61,2.224462e-06,0.029990
62,2.190415e-06,0.030444
63,2.156717e-06,0.030810
64,2.123366e-06,0.031327
65,2.090361e-06,0.031745
66,2.057700e-06,0.032167
67,2.025381e-06,0.032637
68,1.993402e-06,0.033125
69,1.961761e-06,0.033627
70,1.930457e-06,0.034077
71,1.899488e-06,0.034568
72,1.868851e-06,0.035085
73,1.838546e-06,0.035506
74,1.808570e-06,0.035979
75,1.778922e-06,0.036485
76,1.749600e-06,0.037061
77,1.720602e-06,0.037573
78,1.691926e-06,0.038053
79,1.663570e-06,0.038496
80,1.635533e-06,0.039144
81,1.607813e-06,0.039675
82,1.580407e-06,0.040254
83,1.553315e-06,0.040777
84,1.526534e-06,0.041390
85,1.500063e-06,0.042032
86,1.473900e-06,0.042532
87,1.448043e-06,0.043180
88,1.422490e-06,0.043791
89,1.397239e-06,0.044354
90,1.372289e-06,0.044968
91,1.347638e-06,0.045597
92,1.323283e-06,0.046133
93,1.299224e-06,0.046692
94,1.275458e-06,0.047287
95,1.251984e-06,0.047777
96,1.228800e-06,0.048334
97,1.205904e-06,0.048883
98,1.183294e-06,0.049512
99,1.160968e-06,0.050105
100,1.138925e-06,0.050668
101,1.117162e-06,0.051271
102,1.095679e-06,0.051850
103,1.074473e-06,0.052466
104,1.053542e-06,0.053056
105,1.032885e-06,0.053572
106,1.012500e-06,0.054195
107,9.923847e-07,0.054840
108,9.725376e-07,0.055426
109,9.529569e-07,0.056099
110,9.336408e-07,0.056744
111,9.145875e-07,0.057421
112,8.957952e-07,0.058206
113,8.772621e-07,0.058846
114,8.589864e-07,0.059549
115,8.409663e-07,0.060180
116,8.232000e-07,0.060880
117,8.056857e-07,0.061561
118,7.884216e-07,0.062270
119,7.714059e-07,0.062914
120,7.546368e-07,0.063624
121,7.381125e-07,0.064289
122,7.218312e-07,0.064935
123,7.057911e-07,0.065519
124,6.899904e-07,0.066225
125,6.744273e-07,0.066956
126,6.591000e-07,0.067553
127,6.440067e-07,0.068208
128,6.291456e-07,0.069057
129,6.145149e-07,0.069621
130,6.001128e-07,0.070381
131,5.859375e-07,0.071086
132,5.719872e-07,0.071788
133,5.582601e-07,0.072447
134,5.447544e-07,0.073345
135,5.314683e-07,0.073966
136,5.184000e-07,0.074891
137,5.055477e-07,0.075786
138,4.929096e-07,0.076440
139,4.804839e-07,0.077319
140,4.682688e-07,0.078150
141,4.562625e-07,0.078999
142,4.444632e-07,0.079697
143,4.328691e-07,0.080462
144,4.214784e-07,0.081238
145,4.102893e-07,0.082044
146,3.993000e-07,0.082763
147,3.885087e-07,0.083654
148,3.779136e-07,0.084481
149,3.675129e-07,0.085224
150,3.573048e-07,0.086019
151,3.472875e-07,0.086899
152,3.374592e-07,0.087837
153,3.278181e-07,0.088620
154,3.183624e-07,0.089537
155,3.090903e-07,0.090566
156,3.000000e-07,0.091657
157,2.910897e-07,0.092523
158,2.823576e-07,0.093358
159,2.738019e-07,0.094296
160,2.654208e-07,0.095285
161,2.572125e-07,0.096095
162,2.491752e-07,0.097039
163,2.413071e-07,0.097955
164,2.336064e-07,0.098831
165,2.260713e-07,0.099639
166,2.187000e-07,0.100651
167,2.114907e-07,0.101862
168,2.044416e-07,0.102609
169,1.975509e-07,0.103554
170,1.908168e-07,0.104507
171,1.842375e-07,0.105505
172,1.778112e-07,0.106286
173,1.715361e-07,0.107292
174,1.654104e-07,0.108235
175,1.594323e-07,0.109316
176,1.536000e-07,0.110514
177,1.479117e-07,0.111583
178,1.423656e-07,0.112886
179,1.369599e-07,0.114018
180,1.316928e-07,0.115251
181,1.265625e-07,0.116422
182,1.215672e-07,0.117677
183,1.167051e-07,0.118824
184,1.119744e-07,0.119971
185,1.073733e-07,0.121042
186,1.029000e-07,0.122238
187,9.855270e-08,0.123468
188,9.432960e-08,0.124902
189,9.022890e-08,0.126276
190,8.624880e-08,0.127470
191,8.238750e-08,0.128793
192,7.864320e-08,0.130479
193,7.501410e-08,0.131867
194,7.149840e-08,0.133267
195,6.809430e-08,0.134715
196,6.480000e-08,0.136153
197,6.161370e-08,0.137551
198,5.853360e-08,0.138960
199,5.555790e-08,0.140420
200,5.268480e-08,0.141834
201,4.991250e-08,0.143356
202,4.723920e-08,0.144464
203,4.466310e-08,0.146202
204,4.218240e-08,0.147867
205,3.979530e-08,0.150011
206,3.750000e-08,0.151896
207,3.529470e-08,0.153202
208,3.317760e-08,0.154701
209,3.114690e-08,0.156767
210,2.920080e-08,0.158853
211,2.733750e-08,0.160721
212,2.555520e-08,0.162527
213,2.385210e-08,0.164562
214,2.222640e-08,0.166346
215,2.067630e-08,0.167783
216,1.920000e-08,0.170472
