Number of Terms Truncated (k), Power Consumption (W),Reconstruction Error (%)
0,5.033165e-06,0.000000
1,4.974413e-06,0.000965
2,4.916119e-06,0.001352
3,4.858283e-06,0.001697
4,4.800902e-06,0.001964
5,4.743975e-06,0.002212
6,4.687500e-06,0.002463
7,4.631475e-06,0.002734
8,4.575898e-06,0.002936
9,4.520767e-06,0.003157
10,4.466081e-06,0.003366
11,4.411837e-06,0.003562
12,4.358035e-06,0.003760
13,4.304672e-06,0.003936
14,4.251746e-06,0.004124
15,4.199256e-06,0.004287
16,4.147200e-06,0.004432
17,4.095576e-06,0.004574
18,4.044382e-06,0.004717
19,3.993616e-06,0.004871
20,3.943277e-06,0.005009
21,3.893362e-06,0.005153
22,3.843871e-06,0.005297
23,3.794801e-06,0.005459
24,3.746150e-06,0.005607
25,3.697917e-06,0.005751
26,3.650100e-06,0.005894
27,3.602697e-06,0.006015
28,3.555706e-06,0.006158
29,3.509125e-06,0.006305
30,3.462953e-06,0.006462
31,3.417188e-06,0.006618
32,3.371827e-06,0.006791
33,3.326870e-06,0.006930
34,3.282314e-06,0.007070
35,3.238158e-06,0.007224
36,3.194400e-06,0.007392
37,3.151038e-06,0.007525
38,3.108070e-06,0.007690
39,3.065494e-06,0.007815
40,3.023309e-06,0.007979
41,2.981513e-06,0.008110
42,2.940103e-06,0.008306
43,2.899079e-06,0.008448
44,2.858438e-06,0.008615
45,2.818179e-06,0.008772
46,2.778300e-06,0.008966
47,2.738799e-06,0.009156
48,2.699674e-06,0.009340
49,2.660923e-06,0.009503
50,2.622545e-06,0.009676
51,2.584537e-06,0.009828
52,2.546899e-06,0.010044
53,2.509628e-06,0.010209
54,2.472722e-06,0.010394
55,2.436180e-06,0.010569
56,2.400000e-06,0.010764
57,2.364180e-06,0.010921
58,2.328718e-06,0.011148
59,2.293612e-06,0.011317
60,2.258861e-06,0.011510
61,2.224462e-06,0.011673
62,2.190415e-06,0.011846
63,2.156717e-06,0.012017
64,2.123366e-06,0.012263
65,2.090361e-06,0.012408
66,2.057700e-06,0.012634
67,2.025381e-06,0.012793
68,1.993402e-06,0.013013
69,1.961761e-06,0.013206
70,1.930457e-06,0.013441
71,1.899488e-06,0.013636
72,1.868851e-06,0.013867
73,1.838546e-06,0.014082
74,1.808570e-06,0.014304
75,1.778922e-06,0.014505
76,1.749600e-06,0.014712
77,1.720602e-06,0.014892
78,1.691926e-06,0.015156
79,1.663570e-06,0.015341
80,1.635533e-06,0.015611
81,1.607813e-06,0.015784
82,1.580407e-06,0.016004
83,1.553315e-06,0.016189
84,1.526534e-06,0.016487
85,1.500063e-06,0.016669
86,1.473900e-06,0.016940
87,1.448043e-06,0.017141
88,1.422490e-06,0.017364
89,1.397239e-06,0.017585
90,1.372289e-06,0.017879
91,1.347638e-06,0.018063
92,1.323283e-06,0.018357
93,1.299224e-06,0.018525
94,1.275458e-06,0.018786
95,1.251984e-06,0.019039
96,1.228800e-06,0.019326
97,1.205904e-06,0.019520
98,1.183294e-06,0.019790
99,1.160968e-06,0.020012
