Number of Terms Truncated (k), Power Consumption (W),Reconstruction Error (%)
0,5.033165e-06,0.000000
1,4.974413e-06,0.006190
2,4.916119e-06,0.009545
3,4.858283e-06,0.010918
4,4.800902e-06,0.012193
5,4.743975e-06,0.013676
6,4.687500e-06,0.014852
7,4.631475e-06,0.015804
8,4.575898e-06,0.016937
9,4.520767e-06,0.017866
10,4.466081e-06,0.018881
11,4.411837e-06,0.019797
12,4.358035e-06,0.020575
13,4.304672e-06,0.021249
14,4.251746e-06,0.022018
15,4.199256e-06,0.022829
16,4.147200e-06,0.023380
17,4.095576e-06,0.024011
18,4.044382e-06,0.024665
19,3.993616e-06,0.025093
20,3.943277e-06,0.025601
21,3.893362e-06,0.026071
22,3.843871e-06,0.026536
23,3.794801e-06,0.026955
24,3.746150e-06,0.027415
25,3.697917e-06,0.027952
26,3.650100e-06,0.028365
27,3.602697e-06,0.028808
28,3.555706e-06,0.029309
29,3.509125e-06,0.029774
30,3.462953e-06,0.030169
31,3.417188e-06,0.030613
32,3.371827e-06,0.031045
33,3.326870e-06,0.031571
34,3.282314e-06,0.032096
35,3.238158e-06,0.032602
36,3.194400e-06,0.032997
37,3.151038e-06,0.033367
38,3.108070e-06,0.033764
39,3.065494e-06,0.034177
40,3.023309e-06,0.034601
41,2.981513e-06,0.034931
42,2.940103e-06,0.035357
43,2.899079e-06,0.035793
44,2.858438e-06,0.036163
45,2.818179e-06,0.036499
46,2.778300e-06,0.036861
47,2.738799e-06,0.037166
48,2.699674e-06,0.037481
49,2.660923e-06,0.037869
50,2.622545e-06,0.038250
51,2.584537e-06,0.038537
52,2.546899e-06,0.038879
53,2.509628e-06,0.039246
54,2.472722e-06,0.039562
55,2.436180e-06,0.039927
56,2.400000e-06,0.040219
57,2.364180e-06,0.040553
58,2.328718e-06,0.040886
59,2.293612e-06,0.041225
60,2.258861e-06,0.041512
61,2.224462e-06,0.041794
62,2.190415e-06,0.042101
63,2.156717e-06,0.042334
64,2.123366e-06,0.042640
65,2.090361e-06,0.042913
66,2.057700e-06,0.043212
67,2.025381e-06,0.043526
68,1.993402e-06,0.043774
69,1.961761e-06,0.044094
70,1.930457e-06,0.044357
71,1.899488e-06,0.044679
72,1.868851e-06,0.044976
73,1.838546e-06,0.045307
74,1.808570e-06,0.045631
75,1.778922e-06,0.045906
76,1.749600e-06,0.046238
77,1.720602e-06,0.046536
78,1.691926e-06,0.046822
79,1.663570e-06,0.047118
80,1.635533e-06,0.047411
81,1.607813e-06,0.047724
82,1.580407e-06,0.048039
83,1.553315e-06,0.048351
84,1.526534e-06,0.048665
85,1.500063e-06,0.049006
86,1.473900e-06,0.049285
87,1.448043e-06,0.049622
88,1.422490e-06,0.049986
89,1.397239e-06,0.050340
90,1.372289e-06,0.050665
91,1.347638e-06,0.050994
92,1.323283e-06,0.051351
