Number of Terms Truncated (k), Power Consumption (W),Reconstruction Error (%)
0,5.033165e-06,0.000000
1,4.974413e-06,0.002236
2,4.916119e-06,0.003307
3,4.858283e-06,0.003944
4,4.800902e-06,0.004420
5,4.743975e-06,0.004903
6,4.687500e-06,0.005312
7,4.631475e-06,0.005823
8,4.575898e-06,0.006301
9,4.520767e-06,0.006674
10,4.466081e-06,0.007030
11,4.411837e-06,0.007450
12,4.358035e-06,0.007889
13,4.304672e-06,0.008555
14,4.251746e-06,0.009004
15,4.199256e-06,0.009395
16,4.147200e-06,0.009776
17,4.095576e-06,0.010206
18,4.044382e-06,0.010644
19,3.993616e-06,0.011190
20,3.943277e-06,0.011666
21,3.893362e-06,0.012107
22,3.843871e-06,0.012469
23,3.794801e-06,0.012843
24,3.746150e-06,0.013277
25,3.697917e-06,0.013731
26,3.650100e-06,0.014127
27,3.602697e-06,0.014425
28,3.555706e-06,0.014722
29,3.509125e-06,0.015035
30,3.462953e-06,0.015437
31,3.417188e-06,0.015876
32,3.371827e-06,0.016305
33,3.326870e-06,0.016571
34,3.282314e-06,0.016858
35,3.238158e-06,0.017124
36,3.194400e-06,0.017462
37,3.151038e-06,0.017795
38,3.108070e-06,0.018011
39,3.065494e-06,0.018269
40,3.023309e-06,0.018546
41,2.981513e-06,0.018772
42,2.940103e-06,0.019205
43,2.899079e-06,0.019405
44,2.858438e-06,0.019578
45,2.818179e-06,0.019778
46,2.778300e-06,0.019933
47,2.738799e-06,0.020215
48,2.699674e-06,0.020459
49,2.660923e-06,0.020617
50,2.622545e-06,0.020832
51,2.584537e-06,0.020959
52,2.546899e-06,0.021071
53,2.509628e-06,0.021310
54,2.472722e-06,0.021461
55,2.436180e-06,0.021588
56,2.400000e-06,0.021744
57,2.364180e-06,0.021881
58,2.328718e-06,0.022034
59,2.293612e-06,0.022209
60,2.258861e-06,0.022351
61,2.224462e-06,0.022483
62,2.190415e-06,0.022904
63,2.156717e-06,0.023123
64,2.123366e-06,0.023256
65,2.090361e-06,0.023458
66,2.057700e-06,0.023599
67,2.025381e-06,0.023804
68,1.993402e-06,0.023984
69,1.961761e-06,0.024169
70,1.930457e-06,0.024358
71,1.899488e-06,0.024555
72,1.868851e-06,0.024755
73,1.838546e-06,0.025150
74,1.808570e-06,0.025487
75,1.778922e-06,0.025716
76,1.749600e-06,0.025979
77,1.720602e-06,0.026190
78,1.691926e-06,0.026422
79,1.663570e-06,0.026686
80,1.635533e-06,0.026944
81,1.607813e-06,0.027192
82,1.580407e-06,0.027378
83,1.553315e-06,0.027616
84,1.526534e-06,0.027919
85,1.500063e-06,0.028271
86,1.473900e-06,0.028533
87,1.448043e-06,0.028805
88,1.422490e-06,0.028991
89,1.397239e-06,0.029272
90,1.372289e-06,0.029536
91,1.347638e-06,0.029865
92,1.323283e-06,0.030150
93,1.299224e-06,0.030365
94,1.275458e-06,0.030593
95,1.251984e-06,0.030915
96,1.228800e-06,0.031313
97,1.205904e-06,0.031521
98,1.183294e-06,0.031702
99,1.160968e-06,0.031950
100,1.138925e-06,0.032139
101,1.117162e-06,0.032387
102,1.095679e-06,0.032652
103,1.074473e-06,0.032868
104,1.053542e-06,0.033072
105,1.032885e-06,0.033270
106,1.012500e-06,0.033470
107,9.923847e-07,0.033775
108,9.725376e-07,0.034032
109,9.529569e-07,0.034274
110,9.336408e-07,0.034445
111,9.145875e-07,0.034646
112,8.957952e-07,0.034839
113,8.772621e-07,0.035064
114,8.589864e-07,0.035262
115,8.409663e-07,0.035440
116,8.232000e-07,0.035693
117,8.056857e-07,0.035919
