Number of Terms Truncated (k), Power Consumption (W),Reconstruction Error (%)
0,5.033165e-06,0.000000
1,4.974413e-06,0.000572
2,4.916119e-06,0.000782
3,4.858283e-06,0.000897
4,4.800902e-06,0.001003
5,4.743975e-06,0.001314
6,4.687500e-06,0.001498
7,4.631475e-06,0.001661
8,4.575898e-06,0.001723
9,4.520767e-06,0.001836
10,4.466081e-06,0.001989
11,4.411837e-06,0.002072
12,4.358035e-06,0.002184
13,4.304672e-06,0.002249
14,4.251746e-06,0.002316
15,4.199256e-06,0.002402
16,4.147200e-06,0.002503
17,4.095576e-06,0.002575
18,4.044382e-06,0.002646
19,3.993616e-06,0.002791
20,3.943277e-06,0.002859
21,3.893362e-06,0.002930
22,3.843871e-06,0.002980
23,3.794801e-06,0.003053
24,3.746150e-06,0.003126
25,3.697917e-06,0.003174
26,3.650100e-06,0.003252
27,3.602697e-06,0.003315
28,3.555706e-06,0.003351
29,3.509125e-06,0.003395
30,3.462953e-06,0.003442
31,3.417188e-06,0.003486
32,3.371827e-06,0.003548
33,3.326870e-06,0.003616
34,3.282314e-06,0.003666
35,3.238158e-06,0.003737
36,3.194400e-06,0.003812
37,3.151038e-06,0.003873
38,3.108070e-06,0.003942
39,3.065494e-06,0.004011
40,3.023309e-06,0.004066
41,2.981513e-06,0.004139
42,2.940103e-06,0.004209
43,2.899079e-06,0.004259
44,2.858438e-06,0.004302
45,2.818179e-06,0.004352
46,2.778300e-06,0.004412
47,2.738799e-06,0.004459
48,2.699674e-06,0.004505
49,2.660923e-06,0.004563
50,2.622545e-06,0.004614
51,2.584537e-06,0.004666
52,2.546899e-06,0.004753
53,2.509628e-06,0.004797
54,2.472722e-06,0.004878
55,2.436180e-06,0.004934
56,2.400000e-06,0.004987
57,2.364180e-06,0.005061
58,2.328718e-06,0.005110
59,2.293612e-06,0.005177
60,2.258861e-06,0.005229
61,2.224462e-06,0.005303
62,2.190415e-06,0.005377
63,2.156717e-06,0.005451
64,2.123366e-06,0.005524
65,2.090361e-06,0.005593
66,2.057700e-06,0.005674
67,2.025381e-06,0.005729
68,1.993402e-06,0.005803
69,1.961761e-06,0.005866
70,1.930457e-06,0.005933
71,1.899488e-06,0.006000
72,1.868851e-06,0.006071
73,1.838546e-06,0.006159
74,1.808570e-06,0.006255
75,1.778922e-06,0.006322
76,1.749600e-06,0.006399
77,1.720602e-06,0.006507
78,1.691926e-06,0.006606
79,1.663570e-06,0.006690
80,1.635533e-06,0.006788
81,1.607813e-06,0.006870
82,1.580407e-06,0.006966
83,1.553315e-06,0.007072
84,1.526534e-06,0.007181
85,1.500063e-06,0.007262
86,1.473900e-06,0.007385
87,1.448043e-06,0.007495
88,1.422490e-06,0.007617
89,1.397239e-06,0.007725
90,1.372289e-06,0.007837
91,1.347638e-06,0.007953
92,1.323283e-06,0.008067
93,1.299224e-06,0.008199
94,1.275458e-06,0.008338
95,1.251984e-06,0.008481
96,1.228800e-06,0.008614
97,1.205904e-06,0.008743
98,1.183294e-06,0.008859
99,1.160968e-06,0.008990
100,1.138925e-06,0.009127
101,1.117162e-06,0.009243
102,1.095679e-06,0.009377
103,1.074473e-06,0.009525
104,1.053542e-06,0.009684
105,1.032885e-06,0.009811
106,1.012500e-06,0.009928
107,9.923847e-07,0.010070
108,9.725376e-07,0.010219
109,9.529569e-07,0.010384
110,9.336408e-07,0.010538
111,9.145875e-07,0.010710
112,8.957952e-07,0.010883
113,8.772621e-07,0.011045
114,8.589864e-07,0.011238
115,8.409663e-07,0.011399
116,8.232000e-07,0.011564
117,8.056857e-07,0.011803
118,7.884216e-07,0.011985
119,7.714059e-07,0.012227
120,7.546368e-07,0.012431
121,7.381125e-07,0.012650
122,7.218312e-07,0.012872
123,7.057911e-07,0.013083
124,6.899904e-07,0.013270
125,6.744273e-07,0.013470
126,6.591000e-07,0.013665
127,6.440067e-07,0.013884
128,6.291456e-07,0.014128
129,6.145149e-07,0.014429
130,6.001128e-07,0.014707
131,5.859375e-07,0.014980
132,5.719872e-07,0.015276
133,5.582601e-07,0.015544
134,5.447544e-07,0.015931
135,5.314683e-07,0.016243
136,5.184000e-07,0.016525
137,5.055477e-07,0.016821
138,4.929096e-07,0.017087
139,4.804839e-07,0.017375
140,4.682688e-07,0.017683
141,4.562625e-07,0.017979
142,4.444632e-07,0.018328
143,4.328691e-07,0.018630
144,4.214784e-07,0.018953
145,4.102893e-07,0.019312
146,3.993000e-07,0.019706
147,3.885087e-07,0.020051
148,3.779136e-07,0.020374
149,3.675129e-07,0.020733
150,3.573048e-07,0.021138
151,3.472875e-07,0.021625
152,3.374592e-07,0.022059
153,3.278181e-07,0.022552
154,3.183624e-07,0.023057
155,3.090903e-07,0.023540
156,3.000000e-07,0.024009
157,2.910897e-07,0.024507
158,2.823576e-07,0.025064
159,2.738019e-07,0.025536
160,2.654208e-07,0.026112
161,2.572125e-07,0.026680
162,2.491752e-07,0.027194
163,2.413071e-07,0.027744
164,2.336064e-07,0.028324
165,2.260713e-07,0.028944
166,2.187000e-07,0.029612
167,2.114907e-07,0.030182
168,2.044416e-07,0.030900
169,1.975509e-07,0.031591
170,1.908168e-07,0.032204
171,1.842375e-07,0.032780
172,1.778112e-07,0.033394
173,1.715361e-07,0.034012
174,1.654104e-07,0.034750
175,1.594323e-07,0.035496
176,1.536000e-07,0.036437
177,1.479117e-07,0.037307
178,1.423656e-07,0.038214
179,1.369599e-07,0.039218
180,1.316928e-07,0.039930
181,1.265625e-07,0.040800
182,1.215672e-07,0.041558
183,1.167051e-07,0.042421
184,1.119744e-07,0.043527
185,1.073733e-07,0.044664
186,1.029000e-07,0.046145
187,9.855270e-08,0.047337
188,9.432960e-08,0.048713
189,9.022890e-08,0.050138
190,8.624880e-08,0.051645
191,8.238750e-08,0.052671
192,7.864320e-08,0.053970
193,7.501410e-08,0.055556
194,7.149840e-08,0.058147
195,6.809430e-08,0.060297
196,6.480000e-08,0.062161
197,6.161370e-08,0.064018
198,5.853360e-08,0.065731
199,5.555790e-08,0.067283
200,5.268480e-08,0.068928
201,4.991250e-08,0.070654
202,4.723920e-08,0.072250
203,4.466310e-08,0.073993
204,4.218240e-08,0.075571
205,3.979530e-08,0.077261
206,3.750000e-08,0.079026
207,3.529470e-08,0.080500
208,3.317760e-08,0.082693
209,3.114690e-08,0.084424
210,2.920080e-08,0.086443
211,2.733750e-08,0.088536
212,2.555520e-08,0.090305
213,2.385210e-08,0.092545
214,2.222640e-08,0.094891
215,2.067630e-08,0.096687
216,1.920000e-08,0.098821
217,1.779570e-08,0.100931
218,1.646160e-08,0.102847
219,1.519590e-08,0.105048
220,1.399680e-08,0.107198
221,1.286250e-08,0.111998
222,1.179120e-08,0.115923
223,1.078110e-08,0.119058
224,9.830400e-09,0.121246
225,8.937300e-09,0.125121
226,8.100000e-09,0.129185
227,7.316700e-09,0.132952
228,6.585600e-09,0.137585
229,5.904900e-09,0.147274
230,5.272800e-09,0.154065
231,4.687500e-09,0.158295
232,4.147200e-09,0.165496
233,3.650100e-09,0.173261
234,3.194400e-09,0.179999
235,2.778300e-09,0.184609
236,2.400000e-09,0.193815
237,2.057700e-09,0.202854
238,1.749600e-09,0.208562
239,1.473900e-09,0.218986
240,1.228800e-09,0.231966
241,1.012500e-09,0.243711
242,8.232000e-10,0.258255
243,6.591000e-10,0.268793
244,5.184000e-10,0.284776
245,3.993000e-10,0.295734
246,3.000000e-10,0.304924
247,2.187000e-10,0.311588
248,1.536000e-10,0.316697
249,1.029000e-10,0.324461
250,6.480000e-11,0.327866
251,3.750000e-11,0.349807
252,1.920000e-11,0.375340
253,8.100000e-12,0.402925
254,2.400000e-12,0.521562
255,3.000000e-13,0.527848
256,0.000000e+00,1.000000
