Number of Terms Truncated (k), Power Consumption (W),Reconstruction Error (%)
0,5.033165e-06,0.000000
1,4.974413e-06,0.003433
2,4.916119e-06,0.005009
3,4.858283e-06,0.006213
4,4.800902e-06,0.007228
5,4.743975e-06,0.008057
6,4.687500e-06,0.008896
7,4.631475e-06,0.009612
8,4.575898e-06,0.010375
9,4.520767e-06,0.011018
10,4.466081e-06,0.011714
11,4.411837e-06,0.012289
12,4.358035e-06,0.012758
13,4.304672e-06,0.013248
14,4.251746e-06,0.013818
15,4.199256e-06,0.014294
16,4.147200e-06,0.014744
17,4.095576e-06,0.015220
18,4.044382e-06,0.015702
19,3.993616e-06,0.016103
20,3.943277e-06,0.016544
21,3.893362e-06,0.016934
22,3.843871e-06,0.017384
23,3.794801e-06,0.017757
24,3.746150e-06,0.018089
25,3.697917e-06,0.018436
26,3.650100e-06,0.018807
27,3.602697e-06,0.019165
28,3.555706e-06,0.019487
29,3.509125e-06,0.019772
30,3.462953e-06,0.020122
31,3.417188e-06,0.020430
32,3.371827e-06,0.020774
33,3.326870e-06,0.021081
34,3.282314e-06,0.021376
35,3.238158e-06,0.021700
36,3.194400e-06,0.021972
37,3.151038e-06,0.022292
38,3.108070e-06,0.022641
39,3.065494e-06,0.022934
40,3.023309e-06,0.023235
41,2.981513e-06,0.023510
42,2.940103e-06,0.023799
43,2.899079e-06,0.024119
44,2.858438e-06,0.024385
45,2.818179e-06,0.024657
46,2.778300e-06,0.024943
47,2.738799e-06,0.025219
48,2.699674e-06,0.025480
49,2.660923e-06,0.025729
50,2.622545e-06,0.025984
51,2.584537e-06,0.026262
52,2.546899e-06,0.026548
53,2.509628e-06,0.026832
54,2.472722e-06,0.027132
55,2.436180e-06,0.027389
56,2.400000e-06,0.027683
57,2.364180e-06,0.027968
58,2.328718e-06,0.028186
59,2.293612e-06,0.028428
60,2.258861e-06,0.028690
61,2.224462e-06,0.028939
62,2.190415e-06,0.029183
63,2.156717e-06,0.029449
64,2.123366e-06,0.029710
65,2.090361e-06,0.029939
66,2.057700e-06,0.030212
67,2.025381e-06,0.030474
68,1.993402e-06,0.030709
69,1.961761e-06,0.030987
70,1.930457e-06,0.031243
71,1.899488e-06,0.031496
72,1.868851e-06,0.031727
73,1.838546e-06,0.031948
74,1.808570e-06,0.032211
75,1.778922e-06,0.032468
76,1.749600e-06,0.032783
77,1.720602e-06,0.033048
78,1.691926e-06,0.033352
79,1.663570e-06,0.033615
80,1.635533e-06,0.033858
81,1.607813e-06,0.034098
82,1.580407e-06,0.034341
83,1.553315e-06,0.034569
84,1.526534e-06,0.034789
85,1.500063e-06,0.035085
86,1.473900e-06,0.035336
87,1.448043e-06,0.035584
88,1.422490e-06,0.035862
89,1.397239e-06,0.036106
90,1.372289e-06,0.036366
91,1.347638e-06,0.036606
92,1.323283e-06,0.036896
93,1.299224e-06,0.037196
94,1.275458e-06,0.037431
95,1.251984e-06,0.037719
96,1.228800e-06,0.037989
97,1.205904e-06,0.038275
98,1.183294e-06,0.038532
99,1.160968e-06,0.038800
100,1.138925e-06,0.039079
101,1.117162e-06,0.039300
102,1.095679e-06,0.039498
103,1.074473e-06,0.039745
104,1.053542e-06,0.040015
105,1.032885e-06,0.040293
106,1.012500e-06,0.040511
107,9.923847e-07,0.040719
108,9.725376e-07,0.041001
109,9.529569e-07,0.041296
110,9.336408e-07,0.041528
111,9.145875e-07,0.041775
112,8.957952e-07,0.042078
113,8.772621e-07,0.042349
114,8.589864e-07,0.042622
115,8.409663e-07,0.042894
116,8.232000e-07,0.043130
117,8.056857e-07,0.043394
118,7.884216e-07,0.043641
119,7.714059e-07,0.043907
120,7.546368e-07,0.044195
121,7.381125e-07,0.044563
122,7.218312e-07,0.044832
123,7.057911e-07,0.045106
124,6.899904e-07,0.045367
125,6.744273e-07,0.045675
126,6.591000e-07,0.045918
127,6.440067e-07,0.046168
128,6.291456e-07,0.046461
129,6.145149e-07,0.046748
130,6.001128e-07,0.047018
131,5.859375e-07,0.047301
132,5.719872e-07,0.047581
133,5.582601e-07,0.047835
134,5.447544e-07,0.048116
135,5.314683e-07,0.048379
136,5.184000e-07,0.048665
137,5.055477e-07,0.048950
138,4.929096e-07,0.049222
139,4.804839e-07,0.049475
140,4.682688e-07,0.049747
141,4.562625e-07,0.050017
142,4.444632e-07,0.050287
143,4.328691e-07,0.050603
144,4.214784e-07,0.050872
145,4.102893e-07,0.051177
146,3.993000e-07,0.051446
147,3.885087e-07,0.051711
148,3.779136e-07,0.051996
149,3.675129e-07,0.052272
150,3.573048e-07,0.052561
151,3.472875e-07,0.052876
152,3.374592e-07,0.053128
153,3.278181e-07,0.053441
154,3.183624e-07,0.053790
155,3.090903e-07,0.054116
156,3.000000e-07,0.054440
