Trace,Cache Size,Associativity,Block Size,Accesses,Hits,Misses,ReadMiss,ReadCount,WriteMiss,WriteCount,Writebacks
trace.bubble, 131072, 1, 4, 6322343, 6228931, 93412, 57000, 5666010, 36412, 656333, 27967
trace.bubble, 131072, 2, 4, 6322343, 6236080, 86263, 53002, 5666010, 33261, 656333, 25037
trace.bubble, 131072, 4, 4, 6322343, 6240722, 81621, 50632, 5666010, 30989, 656333, 23245
trace.bubble, 131072, 8, 4, 6322343, 6243204, 79139, 50852, 5666010, 28287, 656333, 21785
trace.bubble, 131072, 16, 4, 6322343, 6243106, 79237, 51405, 5666010, 27832, 656333, 21074
trace.bubble, 131072, 32, 4, 6322343, 6242898, 79445, 51569, 5666010, 27876, 656333, 21547
trace.bubble, 131072, 64, 4, 6322343, 6242926, 79417, 51631, 5666010, 27786, 656333, 21708
trace.bubble, 131072, 1, 8, 6322343, 6267688, 54655, 35610, 5666010, 19045, 656333, 15843
trace.bubble, 131072, 2, 8, 6322343, 6272661, 49682, 32234, 5666010, 17448, 656333, 14122
trace.bubble, 131072, 4, 8, 6322343, 6274748, 47595, 30904, 5666010, 16691, 656333, 13575
trace.bubble, 131072, 8, 8, 6322343, 6275862, 46481, 30954, 5666010, 15527, 656333, 13191
trace.bubble, 131072, 16, 8, 6322343, 6275677, 46666, 31022, 5666010, 15644, 656333, 12913
trace.bubble, 131072, 32, 8, 6322343, 6275584, 46759, 31131, 5666010, 15628, 656333, 13188
trace.bubble, 131072, 64, 8, 6322343, 6275991, 46352, 31034, 5666010, 15318, 656333, 13182
trace.bubble, 131072, 1, 16, 6322343, 6290778, 31565, 21560, 5666010, 10005, 656333, 8969
trace.bubble, 131072, 2, 16, 6322343, 6294599, 27744, 18668, 5666010, 9076, 656333, 7753
trace.bubble, 131072, 4, 16, 6322343, 6295709, 26634, 17784, 5666010, 8850, 656333, 7624
trace.bubble, 131072, 8, 16, 6322343, 6296258, 26085, 17732, 5666010, 8353, 656333, 7513
trace.bubble, 131072, 16, 16, 6322343, 6296070, 26273, 17673, 5666010, 8600, 656333, 7464
trace.bubble, 131072, 32, 16, 6322343, 6296029, 26314, 17721, 5666010, 8593, 656333, 7603
trace.bubble, 131072, 64, 16, 6322343, 6296194, 26149, 17626, 5666010, 8523, 656333, 7683
trace.bubble, 131072, 1, 32, 6322343, 6302695, 19648, 14325, 5666010, 5323, 656333, 5418
trace.bubble, 131072, 2, 32, 6322343, 6306083, 16260, 11457, 5666010, 4803, 656333, 4503
trace.bubble, 131072, 4, 32, 6322343, 6306878, 15465, 10697, 5666010, 4768, 656333, 4470
trace.bubble, 131072, 8, 32, 6322343, 6307151, 15192, 10573, 5666010, 4619, 656333, 4448
trace.bubble, 131072, 16, 32, 6322343, 6306974, 15369, 10527, 5666010, 4842, 656333, 4462
trace.bubble, 131072, 32, 32, 6322343, 6306975, 15368, 10451, 5666010, 4917, 656333, 4551
trace.bubble, 131072, 64, 32, 6322343, 6306975, 15368, 10399, 5666010, 4969, 656333, 4597
trace.bubble, 131072, 1, 64, 6322343, 6308726, 13617, 10633, 5666010, 2984, 656333, 3605
trace.bubble, 131072, 2, 64, 6322343, 6312001, 10342, 7743, 5666010, 2599, 656333, 2771
trace.bubble, 131072, 4, 64, 6322343, 6312721, 9622, 6982, 5666010, 2640, 656333, 2763
trace.bubble, 131072, 8, 64, 6322343, 6312889, 9454, 6845, 5666010, 2609, 656333, 2782
trace.bubble, 131072, 16, 64, 6322343, 6312908, 9435, 6670, 5666010, 2765, 656333, 2745
trace.bubble, 131072, 32, 64, 6322343, 6312864, 9479, 6660, 5666010, 2819, 656333, 2772
trace.bubble, 131072, 64, 64, 6322343, 6312862, 9481, 6636, 5666010, 2845, 656333, 2780
trace.bubble, 131072, 1, 128, 6322343, 6311303, 11040, 9233, 5666010, 1807, 656333, 2806
trace.bubble, 131072, 2, 128, 6322343, 6314699, 7644, 6175, 5666010, 1469, 656333, 1869
trace.bubble, 131072, 4, 128, 6322343, 6315673, 6670, 5205, 5666010, 1465, 656333, 1807
trace.bubble, 131072, 8, 128, 6322343, 6316088, 6255, 4792, 5666010, 1463, 656333, 1790
trace.bubble, 131072, 16, 128, 6322343, 6316240, 6103, 4588, 5666010, 1515, 656333, 1709
trace.bubble, 131072, 32, 128, 6322343, 6316275, 6068, 4543, 5666010, 1525, 656333, 1728
trace.bubble, 131072, 64, 128, 6322343, 6316307, 6036, 4511, 5666010, 1525, 656333, 1710
trace.bubble, 131072, 1, 256, 6322343, 6312083, 10260, 8973, 5666010, 1287, 656333, 2545
trace.bubble, 131072, 2, 256, 6322343, 6316200, 6143, 5262, 5666010, 881, 656333, 1435
trace.bubble, 131072, 4, 256, 6322343, 6317146, 5197, 4344, 5666010, 853, 656333, 1312
trace.bubble, 131072, 8, 256, 6322343, 6317743, 4600, 3748, 5666010, 852, 656333, 1286
trace.bubble, 131072, 16, 256, 6322343, 6317895, 4448, 3603, 5666010, 845, 656333, 1227
trace.bubble, 131072, 32, 256, 6322343, 6317975, 4368, 3527, 5666010, 841, 656333, 1243
trace.bubble, 131072, 64, 256, 6322343, 6317987, 4356, 3506, 5666010, 850, 656333, 1232
trace.bubble, 131072, 1, 512, 6322343, 6311339, 11004, 9856, 5666010, 1148, 656333, 2739
trace.bubble, 131072, 2, 512, 6322343, 6316633, 5710, 5170, 5666010, 540, 656333, 1246
trace.bubble, 131072, 4, 512, 6322343, 6317712, 4631, 4112, 5666010, 519, 656333, 1115
trace.bubble, 131072, 8, 512, 6322343, 6318295, 4048, 3527, 5666010, 521, 656333, 1057
trace.bubble, 131072, 16, 512, 6322343, 6318570, 3773, 3267, 5666010, 506, 656333, 1020
trace.bubble, 131072, 32, 512, 6322343, 6318685, 3658, 3159, 5666010, 499, 656333, 990
trace.bubble, 131072, 64, 512, 6322343, 6318756, 3587, 3082, 5666010, 505, 656333, 995
trace.bubble, 131072, 1, 1024, 6322343, 6308443, 13900, 12607, 5666010, 1293, 656333, 3174
trace.bubble, 131072, 2, 1024, 6322343, 6315430, 6913, 6529, 5666010, 384, 656333, 1406
trace.bubble, 131072, 4, 1024, 6322343, 6317475, 4868, 4531, 5666010, 337, 656333, 1119
trace.bubble, 131072, 8, 1024, 6322343, 6317929, 4414, 4080, 5666010, 334, 656333, 1020
trace.bubble, 131072, 16, 1024, 6322343, 6318409, 3934, 3594, 5666010, 340, 656333, 984
