Opened file with command: gunzip -c ../traces/sml.ptr.gz 

** PIPELINE IS 2 WIDE **

[1] BR[255:0][255:0][255:0]{1:0}<0>[0:0][1:5083550]
[2] OTHER[255:0][255:0][255:0]{0:0}<0>[0:0][0:0]

[3] OTHER[255:0][255:0][255:0]{0:0}<0>[0:0][0:0]
[4] OTHER[255:0][255:0][255:0]{0:0}<0>[0:0][0:0]

[5] LD[19:1][255:0][255:0]{0:1}<6673576>[0:1][0:0]
[6] LD[19:1][255:0][255:0]{0:1}<6673576>[0:1][0:0]

[7] OTHER[255:0][255:0][255:0]{0:0}<0>[0:0][0:0]
[8] OTHER[255:0][255:0][255:0]{0:0}<0>[0:0][0:0]

[9] ALU[255:0][255:0][255:0]{0:1}<0>[0:0][0:0]
[10] ALU[255:0][255:0][255:0]{0:1}<0>[0:0][0:0]

[11] BR[255:0][255:0][255:0]{1:0}<0>[0:0][0:5080583]
[12] LD[19:1][255:0][255:0]{0:1}<6673576>[0:1][0:0]

[13] LD[19:1][255:0][255:0]{0:1}<6673576>[0:1][0:0]
[14] OTHER[255:0][255:0][255:0]{0:0}<0>[0:0][0:0]

[15] OTHER[255:0][255:0][255:0]{0:0}<0>[0:0][0:0]
[16] ALU[255:0][255:0][255:0]{0:1}<0>[0:0][0:0]

[17] ALU[255:0][255:0][255:0]{0:1}<0>[0:0][0:0]

[19] LD[24:1][255:0][255:0]{0:1}<6673576>[0:1][0:0]
[18] BR[255:0][255:0][255:0]{1:0}<0>[0:0][0:5080583]

[20] LD[24:1][255:0][255:0]{0:1}<6673576>[0:1][0:0]
[21] OTHER[255:0][255:0][255:0]{0:0}<0>[0:0][0:0]

[22] OTHER[255:0][255:0][255:0]{0:0}<0>[0:0][0:0]

***[23] BR[255:0][255:0][255:0]{1:0}<0>[0:0][0:5080583]
[24] OTHER[255:0][255:0][255:0]{0:0}<0>[0:0][0:0]

[25] OTHER[255:0][255:0][255:0]{0:0}<0>[0:0][0:0]
[26] BR[255:0][255:0][255:0]{1:0}<0>[0:0][0:5081257]

[27] LD[13:1][255:0][255:0]{0:1}<413976712>[0:1][0:0]
[28] LD[13:1][255:0][255:0]{0:1}<413976712>[0:1][0:0]

[29] OTHER[255:0][255:0][255:0]{0:0}<0>[0:0][0:0]

[30] BR[255:0][255:0][255:0]{1:0}<0>[0:0][1:5080310]
[31] OTHER[255:0][255:0][255:0]{0:0}<0>[0:0][0:0]

[32] OTHER[255:0][255:0][255:0]{0:0}<0>[0:0][0:0]
[33] OTHER[255:0][255:0][255:0]{0:0}<0>[0:0][0:0]

[34] ALU[255:0][255:0][255:0]{0:1}<0>[0:0][0:0]

[36] ALU[255:0][255:0][255:0]{0:1}<0>[0:0][0:0]
[35] BR[255:0][255:0][255:0]{1:0}<0>[0:0][1:5080320]

[37] BR[255:0][255:0][255:0]{1:0}<0>[0:0][1:5080320]
[38] ALU[255:0][255:0][255:0]{0:1}<0>[0:0][0:0]

[39] BR[255:0][255:0][255:0]{1:0}<0>[0:0][1:5080320]
[40] OTHER[255:0][255:0][255:0]{0:0}<0>[0:0][0:0]

[41] OTHER[255:0][255:0][255:0]{0:0}<0>[0:0][0:0]
[42] BR[255:0][255:0][255:0]{1:0}<0>[0:0][0:5080320]

[43] ALU[255:0][13:1][26:1]{0:1}<0>[0:0][0:0]
[44] OTHER[255:0][255:0][255:0]{0:0}<0>[0:0][0:0]

[45] BR[255:0][255:0][255:0]{1:0}<0>[0:0][1:5080360]
[46] ALU[255:0][18:1][26:1]{0:1}<0>[0:0][0:0]

[47] BR[255:0][255:0][255:0]{1:0}<0>[0:0][1:5080360]
[48] OTHER[255:0][255:0][255:0]{0:0}<0>[0:0][0:0]

[49] LD[17:1][255:0][255:0]{0:1}<6673800>[0:1][0:0]
[50] LD[17:1][255:0][255:0]{0:1}<6673800>[0:1][0:0]

[51] OTHER[255:0][255:0][255:0]{0:0}<0>[0:0][0:0]
[52] OTHER[255:0][255:0][255:0]{0:0}<0>[0:0][0:0]

[53] OTHER[255:0][255:0][255:0]{0:0}<0>[0:0][0:0]
[54] ALU[255:0][255:0][255:0]{0:1}<0>[0:0][0:0]

[55] BR[255:0][255:0][255:0]{1:0}<0>[0:0][0:5080583]
[56] OTHER[255:0][255:0][255:0]{0:0}<0>[0:0][0:0]

[57] OTHER[255:0][255:0][255:0]{0:0}<0>[0:0][0:0]
